,Time,Total Load,Power,Power Generation (MW),Net Load,Load Reduction %
0,2013-07-14 00:00:00,6740.045454545453,0.0,0.0,6740.045454545453,0.0
1,2013-07-14 01:00:00,6470.616666666668,2212268.8,2.21226875,6468.404397916668,0.03418945772814028
2,2013-07-14 02:00:00,6251.375,13125498.0,13.125498,6238.249502,0.20996177640918998
3,2013-07-14 03:00:00,6111.516666666666,21207234.0,21.207234,6090.309432666666,0.34700443697827327
4,2013-07-14 04:00:00,6026.091666666667,22783644.0,22.783644,6003.308022666667,0.3780832629219325
5,2013-07-14 05:00:00,5964.358333333334,19985312.0,19.985312,5944.373021333334,0.3350789956449632
6,2013-07-14 06:00:00,6028.474999999999,11094341.0,11.094341,6017.3806589999995,0.18403229672512536
7,2013-07-14 07:00:00,6320.791666666667,6435904.5,6.4359045,6314.355762166667,0.10182117746326608
8,2013-07-14 08:00:00,6717.225000000001,5875804.5,5.8758045,6711.349195500001,0.08747368891171575
9,2013-07-14 09:00:00,7198.308333333334,3208555.2,3.20855525,7195.099778083334,0.04457374012644174
10,2013-07-14 10:00:00,7663.133333333334,5038257.0,5.038257,7658.095076333334,0.06574669630351379
11,2013-07-14 11:00:00,7994.691666666667,20083512.0,20.083512,7974.608154666666,0.25121058869270546
12,2013-07-14 12:00:00,8274.0,19172546.0,19.172546,8254.827454,0.23172040125694948
13,2013-07-14 13:00:00,8426.391666666668,13571223.0,13.571223,8412.820443666667,0.1610561618407246
14,2013-07-14 14:00:00,8527.575,6575924.0,6.575924,8520.999076,0.07711364602480775
15,2013-07-14 15:00:00,8643.433333333334,8177285.0,8.177285,8635.256048333335,0.09460690774884978
16,2013-07-14 16:00:00,8732.533333333333,7281058.5,7.2810585,8725.252274833332,0.08337853658350385
17,2013-07-14 17:00:00,8774.275,8945401.0,8.945401,8765.329598999999,0.10195031498328924
18,2013-07-14 18:00:00,8763.999999999998,11393656.0,11.393656,8752.606343999998,0.1300052031036057
19,2013-07-14 19:00:00,8660.316666666664,24238736.0,24.238736,8636.077930666665,0.27988279104497726
20,2013-07-14 20:00:00,8628.341666666665,30841328.0,30.841328,8597.500338666665,0.3574421272531126
21,2013-07-14 21:00:00,8764.85,44022280.0,44.02228,8720.827720000001,0.5022593655339225
22,2013-07-14 22:00:00,8634.991666666667,65213100.0,65.2131,8569.778566666666,0.7552190264611334
23,2013-07-14 23:00:00,8288.266666666665,63821100.0,63.8211,8224.445566666665,0.7700174543933594
24,2013-07-15 00:00:00,7869.908333333334,63806360.0,63.80636,7806.101973333334,0.8107637001278074
25,2013-07-15 01:00:00,7514.041666666665,57407064.0,57.407064,7456.634602666665,0.763997147562619
26,2013-07-15 02:00:00,7241.291666666667,72167960.0,72.16796,7169.123706666667,0.9966172241370381
27,2013-07-15 03:00:00,7094.892857142858,86312710.0,86.312712,7008.580145142858,1.216547081653302
28,2013-07-15 04:00:00,7073.783333333333,66093984.0,66.093984,7007.689349333333,0.9343512641749938
29,2013-07-15 05:00:00,7189.708333333333,71712450.0,71.712448,7117.995885333333,0.9974319496038898
30,2013-07-15 06:00:00,7585.316666666666,58504476.0,58.504476,7526.812190666666,0.7712858746833247
31,2013-07-15 07:00:00,8294.341666666665,63813372.0,63.813372,8230.528294666665,0.7693603008476664
32,2013-07-15 08:00:00,9017.800000000001,54014796.0,54.014796,8963.785204000002,0.5989797511588191
33,2013-07-15 09:00:00,9586.358333333334,54630096.0,54.630096,9531.728237333333,0.5698732939080968
34,2013-07-15 10:00:00,10015.192857142858,53884556.0,53.884556,9961.308301142857,0.5380281415306888
35,2013-07-15 11:00:00,10324.466666666667,65357588.0,65.357588,10259.109078666666,0.6330359728024693
36,2013-07-15 12:00:00,10501.891666666665,52843132.0,52.843132,10449.048534666665,0.50317727203115
