NYISOname,PTID,Zone,UnitType,DualFuel,FuelTypeprimary,FuelTypesecondary,NamePlateRatingMW,NetEnergyGWh,Latitude,Longitude
"Arthur Kill ST 2",23512,J,Steam Turbine (Fossile),No,Natural Gas,<undefined>,376.2,454.4,40.589204,-74.197028
"Arthur Kill ST 3",23513,J,Steam Turbine (Fossile),No,Natural Gas,<undefined>,535.5,534.3,40.589204,-74.197028
"Allegany",23514,B,Combined Cycle,No,Natural Gas,<undefined>,67,35.7,42.391981,-78.155403
"Brooklyn Navy Yard",23515,J,Combined Cycle,YES,Natural Gas,Fuel Oil,322,1964.7,40.703833,-73.981228
"Astoria 3",23516,J,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,376,307.3,40.787174,-73.908745
"Astoria 5",23518,J,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,387,757.8,40.787174,-73.908745
"Wading River 1",23522,K,Combustion Turbine,No,Fuel Oil,<undefined>,79.5,4.2,40.956178,-72.877412
"East River 7",23524,J,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,200,209.6,40.727823,-73.974959
"Bowline 1",23526,G,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,621,238.4,41.204688,-73.979414
"Ravenswood ST 01",23533,J,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,400,598.7,40.758433,-73.947041
"Ravenswood ST 02",23534,J,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,400,579,40.758433,-73.947041
"Ravenswood ST 03",23535,J,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,1027,797.2,40.763619,-73.943008
"Somerset",23543,A,Steam Turbine (Fossile),No,Coal,<undefined>,655.1,593,43.352724,-78.609027
"Barrett ST 01",23545,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,188,566.9,40.61822,-73.648205
"Barrett ST 02",23546,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,188,721.4,40.61822,-73.648205
"Wading River 2",23547,K,Combustion Turbine,No,Fuel Oil,<undefined>,79.5,1.3,40.956178,-72.877412
"Northport 1",23551,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,387,340.3,40.88294,-73.292579
"Northport 2",23552,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,387,665.4,40.88294,-73.292579
"Northport 3",23553,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,387,932.1,40.88294,-73.292579
"Port Jefferson 3",23555,K,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,188,172.7,40.948399,-73.082874
"Greenidge 4",23583,C,Steam Turbine (Fossile),No,Natural Gas,Wood,112.5,202.4,42.678924,-76.951213
"Cayuga 1",23584,C,Steam Turbine (Fossile),No,Coal,<undefined>,155.3,81.6,42.602627,-76.6329
"Cayuga 2  (IIFO - 7/1/18)",23585,C,Steam Turbine (Fossile),No,Coal,<undefined>,167.2,17.4,42.602627,-76.6329
"Danskammer 1",23586,G,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,72,2.7,41.563587,-73.954582
"Roseton 1",23587,G,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,621,264.8,41.574939,-73.97868
"Roseton 2",23588,G,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,621,251.7,41.574939,-73.97868
"Danskammer 2",23589,G,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,73.5,2.7,41.563587,-73.954582
"Danskammer 3",23590,G,Steam Turbine (Fossile),No,Natural Gas,<undefined>,147.1,14.2,41.563587,-73.954582
"Danskammer 4",23591,G,Steam Turbine (Fossile),No,Natural Gas,<undefined>,239.4,10.9,41.563587,-73.954582
"Bowline 2",23595,G,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,621,229.3,41.204688,-73.979414
"Wading River 3",23601,K,Combustion Turbine,No,Fuel Oil,<undefined>,79.5,7.4,40.956178,-72.877412
"Oswego 5",23606,C,Steam Turbine (Fossile),No,Fuel Oil,<undefined>,901.8,24.4,43.454863,-76.531583
"Oswego 6",23613,C,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,901.8,24.9,43.454863,-76.531583
"Port Jefferson 4",23616,K,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,188,155.2,40.948399,-73.082874
"Hempstead (RR)",23647,K,Steam Turbine (Fossile),No,Refuse (Solid Waste),<undefined>,78.6,594.1,40.725252,-73.632026
"Northport 4",23650,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,387,746.1,40.88294,-73.292579
"Wheelabrator Westchester",23653,H,Steam Turbine (Fossile),No,Refuse (Solid Waste),<undefined>,59.7,392,41.264309,-73.949255
"East River 6",23660,J,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,156.2,511.6,40.727823,-73.974959
"Athens 1",23668,F,Combined Cycle,YES,Natural Gas,Fuel Oil,441,1450.1,42.271224,-73.850326
"Athens 2",23670,F,Combined Cycle,YES,Natural Gas,Fuel Oil,441,879.8,42.271224,-73.850326
"Athens 3",23677,F,Combined Cycle,YES,Natural Gas,Fuel Oil,441,1292.1,42.271224,-73.850326
"Glenwood GT 02",23688,K,Combustion Turbine,No,Fuel Oil,<undefined>,55,2.1,40.831741,-73.647631
"Glenwood GT 03",23689,K,Combustion Turbine,No,Fuel Oil,<undefined>,55,2.5,40.831741,-73.647631
"Holtsville 01",23690,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,2,40.817198,-73.063987
"Holtsville 02",23691,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,1.2,40.817198,-73.063987
"Holtsville 04",23693,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,2.7,40.817198,-73.063987
"Holtsville 05",23694,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,1.8,40.817198,-73.063987
"Holtsville 06",23695,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,12.6,40.817198,-73.063988
"Holtsville 07",23696,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,4.4,40.817198,-73.063988
"Holtsville 08",23697,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,5.7,40.817198,-73.063988
"Holtsville 09",23698,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,4,40.817198,-73.063988
"Holtsville 10",23699,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,7.8,40.817198,-73.063988
"Barrett 09",23700,K,Jet Engine,YES,Natural Gas,Fuel Oil,41.8,23,40.61822,-73.648205
"Barrett 10",23701,K,Jet Engine,YES,Natural Gas,Fuel Oil,41.8,16.7,40.61822,-73.648205
"Barrett 11",23702,K,Jet Engine,YES,Natural Gas,Fuel Oil,41.8,38.6,40.61822,-73.648205
"Barrett 12",23703,K,Jet Engine,YES,Natural Gas,Fuel Oil,41.8,30,40.61822,-73.648205
"Barrett GT 01",23704,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,18,3.9,40.61822,-73.648205
"Barrett GT 02",23705,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,18,3.9,40.61822,-73.648205
"Barrett 03",23706,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,18,6.5,40.61822,-73.648205
