Eastern Date Hour,Zone Name,DAM Forecast Load,GMT Start Hour
1/1/2019 11:00,N.Y.C.,4975,16
1/1/2019 11:00,NORTH,649,16
1/1/2019 11:00,WEST,1638,16
1/1/2019 12:00,CAPITL,1290,17
1/1/2019 12:00,CENTRL,1706,17
1/1/2019 12:00,DUNWOD,575,17
1/1/2019 12:00,GENESE,1043,17
1/1/2019 12:00,HUD VL,989,17
1/1/2019 12:00,LONGIL,1969,17
1/1/2019 12:00,MHK VL,760,17
1/1/2019 12:00,MILLWD,275,17
1/1/2019 12:00,N.Y.C.,5058,17
1/1/2019 12:00,NORTH,653,17
1/1/2019 12:00,WEST,1653,17
1/1/2019 13:00,CAPITL,1289,18
1/1/2019 13:00,CENTRL,1701,18
1/1/2019 13:00,DUNWOD,581,18
1/1/2019 13:00,GENESE,1044,18
1/1/2019 13:00,HUD VL,991,18
1/1/2019 13:00,LONGIL,1994,18
1/1/2019 13:00,MHK VL,753,18
1/1/2019 13:00,MILLWD,276,18
1/1/2019 13:00,N.Y.C.,5096,18
1/1/2019 13:00,NORTH,651,18
1/1/2019 13:00,WEST,1662,18
1/1/2019 14:00,CAPITL,1285,19
1/1/2019 14:00,CENTRL,1697,19
1/1/2019 14:00,DUNWOD,588,19
1/1/2019 14:00,GENESE,1041,19
1/1/2019 14:00,HUD VL,990,19
1/1/2019 14:00,LONGIL,2018,19
1/1/2019 14:00,MHK VL,746,19
1/1/2019 14:00,MILLWD,279,19
1/1/2019 14:00,N.Y.C.,5127,19
1/1/2019 14:00,NORTH,650,19
1/1/2019 14:00,WEST,1667,19
1/1/2019 15:00,CAPITL,1299,20
1/1/2019 15:00,CENTRL,1712,20
1/1/2019 15:00,DUNWOD,593,20
1/1/2019 15:00,GENESE,1052,20
1/1/2019 15:00,HUD VL,1004,20
1/1/2019 15:00,LONGIL,2066,20
1/1/2019 15:00,MHK VL,760,20
1/1/2019 15:00,MILLWD,281,20
1/1/2019 15:00,N.Y.C.,5160,20
1/1/2019 15:00,NORTH,655,20
1/1/2019 15:00,WEST,1684,20
1/1/2019 16:00,CAPITL,1373,21
1/1/2019 16:00,CENTRL,1796,21
1/1/2019 16:00,DUNWOD,625,21
1/1/2019 16:00,GENESE,1111,21
1/1/2019 16:00,HUD VL,1065,21
1/1/2019 16:00,LONGIL,2243,21
1/1/2019 16:00,MHK VL,805,21
1/1/2019 16:00,MILLWD,300,21
1/1/2019 16:00,N.Y.C.,5286,21
1/1/2019 16:00,NORTH,671,21
1/1/2019 16:00,WEST,1745,21
1/1/2019 17:00,CAPITL,1473,22
1/1/2019 17:00,CENTRL,1923,22
1/1/2019 17:00,DUNWOD,687,22
1/1/2019 17:00,GENESE,1207,22
1/1/2019 17:00,HUD VL,1172,22
1/1/2019 17:00,LONGIL,2529,22
1/1/2019 17:00,MHK VL,866,22
1/1/2019 17:00,MILLWD,331,22
1/1/2019 17:00,N.Y.C.,5530,22
1/1/2019 17:00,NORTH,691,22
1/1/2019 17:00,WEST,1876,22
1/1/2019 18:00,CAPITL,1466,23
1/1/2019 18:00,CENTRL,1925,23
1/1/2019 18:00,DUNWOD,692,23
1/1/2019 18:00,GENESE,1193,23
1/1/2019 18:00,HUD VL,1178,23
1/1/2019 18:00,LONGIL,2558,23
1/1/2019 18:00,MHK VL,852,23
